date	Paris	Londres	Moscow	Madrid	Casablanca	Abidjan	Dakar	New York	Los Angles	Toronto	Istanbul	Shanghai	Tokyo	Melbourne	Vide
1948-01-01	5.999	5.3660000000000005	-7.556000000000001	5.048	10.736	26.174000000000003	21.421999999999997	-6.651	10.912	-10.8	9.863	9.863	1.804	17.666999999999994	
1948-02-01	3.795	4.558	-10.558	6.029	12.220999999999998	27.51	22.006999999999998	-3.785	8.875	-8.646	4.421	4.421	2.6210000000000004	19.292	
1948-03-01	9.661	8.232999999999999	-4.962999999999999	10.399	14.661	28.391	22.947000000000006	3.6039999999999996	9.388	-2.8840000000000003	4.0920000000000005	4.0920000000000005	4.4369999999999985	14.721999999999998	
1948-04-01	10.594	9.334	5.185	9.468	14.68	27.428	19.826	9.259	13.505	7.109	10.82	10.82	11.965	13.357999999999999	
1948-05-01	14.356000000000002	11.715	14.955000000000002	12.515999999999998	17.701	26.615	22.796999999999997	14.452	15.991	10.308	16.573999999999998	16.573999999999998	16.177	10.175	
1948-06-01	15.997	14.300999999999998	19.453	18.447	23.46	25.121	25.921	19.39	19.422	16.569000000000003	19.922	19.922	20.307000000000002	8.149	
1948-07-01	17.461	16.134	16.101000000000006	20.956999999999997	26.12	24.343000000000004	27.765	22.816999999999997	22.399	19.695	22.304000000000002	22.304000000000002	24.789	7.2810000000000015	
1948-08-01	17.522000000000002	15.7	16.873	21.177000000000003	25.724	24.061999999999998	27.878	21.933000000000003	22.447000000000006	19.346	23.496	23.496	24.22	9.347000000000001	
1948-09-01	15.039	14.372	10.662	18.773	23.160999999999998	24.642	28.233	18.135	21.546	16.569000000000006	19.113	19.113	21.448	11.323	
1948-10-01	10.337000000000002	9.991	4.372	12.628	17.932000000000002	25.987	27.526999999999997	10.575	16.735	7.412000000000001	15.344	15.344	15.075999999999999	11.454	
1948-11-01	6.5	6.732	-1.6960000000000002	8.982000000000001	15.59	26.648000000000003	26.555	8.337	12.427	5.093	8.975000000000003	8.975000000000003	9.389	13.948	
1948-12-01	4.107	5.484	-5.484	5.456	11.777000000000001	26.851	23.21	-0.15400000000000005	7.462000000000001	-3.176	2.1220000000000008	2.1220000000000008	5.869	17.035	
1949-01-01	4.574	4.958	-4.478	3.699	10.345	27.016	21.194000000000003	1.073	4.463	-4.467	3.5649999999999995	3.5649999999999995	3.2260000000000004	18.188	
1949-02-01	5.104	5.475	-7.8679999999999986	5.787999999999999	11.709	27.935	21.464	1.358	7.588999999999999	-4.797	2.1010000000000004	2.1010000000000004	4.228	16.238000000000003	
1949-03-01	5.65	4.87	-3.386	6.7	13.565	28.382	19.537000000000006	4.23	10.248	-2.638	5.053000000000001	5.053000000000001	4.074	16.244	
1949-04-01	12.184	10.311	3.889	12.603000000000002	17.035	27.988000000000003	21.730999999999998	9.836	15.622	5.257999999999999	8.681000000000001	8.681000000000001	9.405	12.243	
1949-05-01	12.377	11.015	14.642999999999999	12.738	18.174	27.263	21.485000000000007	15.45	16.612000000000002	12.658	17.601999999999997	17.601999999999997	16.389999999999993	9.857000000000001	
1949-06-01	16.298	15.008	16.451	18.864	22.62	25.616	26.247	21.669	21.089000000000002	20.047	19.709	19.709	18.222	7.097	
1949-07-01	20.473	17.900000000000006	16.935000000000002	23.238000000000003	25.613000000000003	24.803	27.427	24.623	22.939	20.916	21.151	21.151	24.068	8.251	
1949-08-01	19.230999999999998	17.346	15.907	23.505000000000006	26.905	24.141	27.953000000000007	22.649	22.686999999999998	20.113	20.991	20.991	25.291	8.746	
1949-09-01	18.942	17.125	11.515	17.935000000000006	22.545	25.064	28.289	16.363999999999994	22.381	13.057	17.247	17.247	20.73	10.39	
1949-10-01	12.797	11.784	4.352	12.822	19.35	25.916999999999998	28.543000000000003	13.978	16.16	10.722	14.607	14.607	13.898	12.305	
1949-11-01	5.925	6.251	-0.3220000000000001	7.2559999999999985	14.444	26.754	26.281999999999996	4.798	15.933	0.05600000000000005	13.735999999999999	13.735999999999999	7.921	14.329	
1949-12-01	4.584	5.517	-4.354000000000001	4.019	11.265	27.193	23.848000000000003	0.606	8.628	-3.1500000000000004	8.86	8.86	4.0	15.202	
1950-01-01	2.217	3.927	-17.882	2.9160000000000004	9.606	26.773000000000003	21.06	2.32	6.463000000000001	-3.037	0.9899999999999992	0.9899999999999992	2.431	17.335	
1950-02-01	6.728999999999999	5.803999999999999	-6.809999999999999	5.731	11.811	27.526999999999997	21.043000000000003	-2.454	10.759	-7.75	4.048	4.048	2.5180000000000002	17.98	
1950-03-01	7.856999999999998	7.667000000000001	-2.532	8.163	13.762	28.344	23.285	0.54	11.984000000000002	-5.624	7.106000000000001	7.106000000000001	5.705	16.769000000000002	
1950-04-01	8.670000000000002	7.756	8.613999999999999	9.555	15.318	27.83	21.691999999999997	7.336	15.341	1.6100000000000003	14.847999999999999	14.847999999999999	11.992	13.640999999999998	
1950-05-01	14.453	11.407	11.418	13.194	18.415	26.896	22.845	14.135000000000002	16.34	11.562999999999999	16.66	16.66	17.456999999999994	10.472000000000001	
1950-06-01	19.016	17.003	14.855	19.462	22.59	25.454	26.63	19.352	19.47	16.593	20.286	20.286	20.279	7.962000000000001	
1950-07-01	19.676	16.807000000000002	15.515	23.377	26.469	24.878	27.623	21.613000000000003	24.212	18.160999999999998	22.955	22.955	25.186999999999998	8.561	
1950-08-01	18.418	16.602	13.976	21.058000000000003	25.369	23.734	27.581000000000003	20.901	23.288	17.705000000000005	22.155	22.155	25.135	9.086	
1950-09-01	14.407	13.448	11.77	17.601	22.729	24.253	27.485000000000007	15.845	20.511999999999997	13.377	21.24	21.24	21.962000000000003	11.693	
1950-10-01	10.437	9.668	4.598	13.27	18.014	25.266	27.449	12.633	18.309	10.085	13.946	13.946	13.644	13.194	
1950-11-01	7.166	6.0360000000000005	-0.5390000000000001	9.013	15.486	26.686	26.436	6.327999999999999	15.069	0.7050000000000001	11.259	11.259	9.026	15.357999999999999	
1950-12-01	0.17399999999999993	0.9309999999999999	-5.827999999999999	2.7489999999999997	10.562000000000001	26.704	23.232	-1.858	12.653	-5.712999999999999	10.424000000000001	10.424000000000001	3.157	18.986	
1951-01-01	4.763999999999999	3.864	-12.088	3.565	9.004	26.944000000000006	21.103	-0.7229999999999999	8.987	-6.393	7.1389999999999985	7.1389999999999985	0.7050000000000001	21.629	
1951-02-01	4.466	3.697	-12.69	3.5789999999999997	10.13	27.118000000000002	20.157	-0.23600000000000002	9.758	-5.988	7.399	7.399	2.258	20.189	
1951-03-01	5.653	4.516	-3.894	6.726	14.633	27.983	20.644	3.5980000000000003	11.947000000000001	-1.266	9.711	9.711	6.337999999999999	18.467	
1951-04-01	8.704	6.815	7.931999999999999	9.457	15.425	27.914	21.27	9.576	14.022	5.2970000000000015	12.915	12.915	10.899	11.667	
1951-05-01	12.277999999999999	10.414000000000001	9.377	10.392999999999999	16.937	26.69	23.052000000000003	15.633	16.977	12.823	17.262999999999998	17.262999999999998	16.095	10.625	
1951-06-01	16.069000000000003	14.195	16.432000000000002	18.037	23.572000000000006	25.618000000000002	25.96	19.401	19.899	16.919	20.112000000000002	20.112000000000002	19.447	9.469	
1951-07-01	18.469	17.086000000000002	17.534000000000002	21.796999999999997	24.791	24.783	28.164	22.364	24.072	19.224	22.826	22.826	22.998	7.962999999999999	
1951-08-01	17.197	15.687999999999999	17.925	19.689	25.21	24.058000000000003	28.092	21.089000000000002	23.208	17.26	23.533	23.533	25.705	7.894	
1951-09-01	16.262	14.704	11.857999999999999	17.913	23.225	25.288	27.877	17.151	22.561	14.038	20.294	20.294	18.748	11.386	
1951-10-01	10.033	9.498	2.393	10.44	16.796	25.524	26.726	12.236999999999998	17.147000000000002	9.425	12.254000000000001	12.254000000000001	15.392000000000001	12.507	
1951-11-01	8.854	8.434000000000001	-4.652	7.174	14.322000000000001	26.771	25.26	3.162	12.488	-1.5939999999999994	11.852	11.852	8.906	14.097000000000001	
1951-12-01	4.34	5.3870000000000005	-2.2090000000000005	4.985	11.105	27.206	21.971	0.040000000000000036	8.033	-4.636	5.504	5.504	5.16	16.784000000000002	
1952-01-01	2.792	2.929	-4.4220000000000015	1.4010000000000002	8.434999999999999	27.009	19.664	-0.5660000000000003	7.125	-5.613	6.829	6.829	1.825	18.371	
1952-02-01	2.64	3.161	-7.308999999999998	4.2360000000000015	10.557	27.921	20.540000000000006	-0.202	10.104	-5.42	6.58	6.58	0.4290000000000001	17.239	
1952-03-01	7.778	6.626	-10.227	9.626	15.409	28.267	20.904	2.515	8.828	-2.78	6.968	6.968	5.362	17.941	
1952-04-01	11.655	9.67	4.006	9.791	14.368	27.851	20.905	10.661	13.69	6.9239999999999995	11.686	11.686	10.964	12.713	
